loss,accuracy,val_loss,val_accuracy,architecture,epoch,version,params,labels,timestamp
0.061480917036533356,0.9777377843856812,0.20408378541469574,0.943345308303833,EfficientNetV2L,25,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.06995409727096558,0.9752642512321472,0.2974502444267273,0.9154676198959351,EfficientNetV2L,26,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.07662829011678696,0.9752642512321472,0.2643904387950897,0.9208633303642273,EfficientNetV2L,27,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.0657786950469017,0.9781875610351562,0.25351640582084656,0.9307553768157959,EfficientNetV2L,28,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.0626237615942955,0.9813357591629028,0.23253445327281952,0.9379496574401855,EfficientNetV2L,29,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.07350634783506393,0.9736901521682739,0.24186141788959503,0.9334532618522644,EfficientNetV2L,30,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.06419628858566284,0.9806610941886902,0.2378813922405243,0.9343525171279907,EfficientNetV2L,31,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.06269755959510803,0.9793118834495544,0.228682279586792,0.9343525171279907,EfficientNetV2L,32,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.06248174607753754,0.9757139682769775,0.24513964354991913,0.9361510872840881,EfficientNetV2L,33,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.058907777070999146,0.9808859825134277,0.23666974902153015,0.9379496574401855,EfficientNetV2L,34,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
